wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1784895448.7451603,38,200,steve_truncation,0,-0.8221710607462093,0.0,0.0,0.0,0.9980308330795864,2.3832456878171855,1.9317128770645426,122,59.72029678621145,0.29860148393105723,1.5332456878171854,0,181.23412352753044,293.09292623372187,ZeroCost,100,ArchType.II,888535,1,1
1784895464.5983179,39,200,steve_truncation,0,-0.8849372741769711,0.0,0.0,0.0,0.1945524011235097,1.5804577949148173,0.24340338554760235,1,0.7304577949148173,0.0036522889745740864,0.7304577949148173,0,121.66898001861574,220.6691002626651,ZeroCost,100,ArchType.V,804214,1,1
1784895565.337064,40,200,steve_truncation,0,-0.8925027023917442,0.0,0.0,0.0,265.11690338579274,6315.763296966069,1462.1032989343687,155,587.1824545222403,2.9359122726112012,4.15,6,248.33763227844736,214.64815080820833,ZeroCost,100,ArchType.V,945480,1,1
1784895574.7749984,41,54,target_reached,1,0.9627181030228059,0.0,0.0,0.0,2.811662167380725,81.64064655328049,7.621277389039673,18,39.355861149919335,0.7288122435170247,4.15,0,206.56480967712432,236.6569313546872,ZeroCost,100,ArchType.IV,154339,1,1
1784895598.9013786,42,200,steve_truncation,0,-0.8105636227601787,0.0,0.0,0.0,1.179596181314323,2.797731946134107,2.0634743915764737,136,92.03436591090622,0.46017182955453106,1.9477319461341067,0,179.8796149215688,199.86368055403034,ZeroCost,100,ArchType.I,708812,1,1
1784895617.6972651,43,200,steve_truncation,0,-0.8546036906529311,0.0,0.0,0.0,0.2772974534647379,1.0564980450668258,0.7097978281801882,4,0.6377255097263903,0.0031886275486319514,0.20649804506682579,0,153.75791873168993,306.9758826798137,ZeroCost,100,ArchType.IV,172706,1,1
1784895637.7885041,44,200,steve_truncation,0,-0.8559329863272797,0.0,0.0,0.0,0.4222922532628797,3.0671541662996042,1.8927619457922322,19,20.265647962746,0.10132823981373001,2.217154166299604,0,151.2874838256808,307.77639048764485,ZeroCost,100,ArchType.I,790498,1,1
1784895683.786162,45,200,steve_truncation,0,-0.9097738826309815,0.0,0.0,0.0,0.14456221609750522,0.3263155896103655,0.2325030926189587,0,0.0,0.0,0.0,0,98.67696443176214,286.01183499463536,ZeroCost,100,ArchType.IV,740486,1,1
1784895699.7186637,46,200,steve_truncation,0,-0.856210240001499,0.0,0.0,0.0,0.14986678986509888,2.642810347974256,0.2084171768146417,2,2.732498682969781,0.013662493414848905,1.7928103479742559,0,151.2117242126471,269.66852430277686,ZeroCost,100,ArchType.I,752672,1,1
1784895734.7711833,47,200,steve_truncation,0,-0.8097504284120429,0.0,0.0,0.0,1.6929913065899438,6.957395093653332,4.981525376478495,133,181.57852385742098,0.9078926192871049,4.15,0,188.3408630599989,230.84291587046587,ZeroCost,100,ArchType.I,820065,1,1
1784895751.3233657,48,200,steve_truncation,0,-0.8618710131833354,0.0,0.0,0.0,0.19970808318626262,1.8004912638105375,0.3413784644187754,2,1.2167460851081273,0.0060837304255406364,0.9504912638105375,0,143.40663003540126,304.897079007273,ZeroCost,100,ArchType.II,928956,1,1
